Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF 16V X5R","C_0201_0603Metric",13.055000,46.250000,180.000000,top
"C2","100nF 16V X5R","C_0201_0603Metric",10.076532,49.571421,90.000000,top
"C3","100nF 16V X5R","C_0201_0603Metric",14.655000,10.500000,180.000000,top
"FD1","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",2.500000,7.000000,0.000000,top
"FD2","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",27.500000,7.000000,0.000000,top
"FD3","Fiducial_0.5mm_Mask1mm","Fiducial_0.5mm_Mask1mm",27.500000,47.500000,0.000000,top
"J1","DF17_2.0_-30DP-0.5V_57_","DF172030DP05V57",15.000000,27.000000,180.000000,top
"R1","10K","R_0201_0603Metric",10.395073,48.175510,0.000000,top
"R2","2K2","R_0201_0603Metric",15.800000,20.650000,180.000000,top
"R3","2K2","R_0201_0603Metric",14.180000,20.650000,0.000000,top
"R4","0","R_0201_0603Metric",19.500000,48.562500,180.000000,top
"R5","0R","R_0201_0603Metric",19.500000,47.500000,0.000000,top
"U1","BNO085","IC_BNO085",15.000000,49.000000,0.000000,top
